position,alarm_name,occurrence,entity,total_rows,null_count,null_percentage,unique_count,non_normal_count,activation_rate_pct,observed_states
22,Ground resistance value,1,ALARM,10000,1154,11.54,195,1423,14.23,0 (7423); 6.445 (36); 8.399 (36); 25.141 (36); 1.175 (36)
28,CCU Comm Fail,1,COMMUNICATION,10000,0,0.0,2,39,0.39,OK (9961); Fail (39)
29,LED Strip Card Comm Fail,1,COMMUNICATION,10000,0,0.0,2,69,0.69,OK (9931); Fail (69)
30,DCSI Card Comm Fail,1,COMMUNICATION,10000,0,0.0,2,120,1.2,OK (9880); Fail (120)
31,AC Sense Card CommFail,1,COMMUNICATION,10000,0,0.0,2,28,0.28,OK (9972); Fail (28)
32,LED Board Comm Fail,1,COMMUNICATION,10000,0,0.0,2,24,0.24,OK (9976); Fail (24)
34,Modem Comm Fail,1,COMMUNICATION,10000,0,0.0,2,658,6.58,OK (9342); Fail (658)
36,Display Comm Fail,1,COMMUNICATION,10000,0,0.0,2,8,0.08,OK (9992); Fail (8)
37,CMS Comm Fail,1,COMMUNICATION,10000,0,0.0,2,235,2.35,OK (9765); Fail (235)
38,Fan Card Comm Fail,1,COMMUNICATION,10000,0,0.0,2,56,0.56,OK (9944); Fail (56)
39,I/O Card Comm Fail,1,COMMUNICATION,10000,0,0.0,2,32,0.32,OK (9968); Fail (32)
40,Input ACEM Comm Fail,1,COMMUNICATION,10000,0,0.0,2,60,0.6,OK (9940); Fail (60)
41,RTC Clock Drift Warning,1,ALARM,10000,0,0.0,2,287,2.87,OK (9713); Fail (287)
42,RMS Disabled Alarm,1,ALARM,10000,0,0.0,2,10000,100.0,RMS Enable (9986); RMS Disable (14)
43,LEDCard2 Comm Fail,1,COMMUNICATION,10000,0,0.0,2,14,0.14,OK (9986); Fail (14)
81,Grid Fail,1,CHARGER,10000,0,0.0,2,392,3.92,Not alarm (9608); Alarm (392)
82,Class-C SPD Fail,1,CHARGER,10000,0,0.0,2,38,0.38,Not alarm (9962); Alarm (38)
83,NE Voltage High Alarm,1,ALARM,10000,0,0.0,2,48,0.48,Not alarm (9952); Alarm (48)
84,Line 1 Fail,1,CHARGER,10000,0,0.0,2,40,0.4,Not alarm (9960); Alarm (40)
85,Line 2 Fail,1,CHARGER,10000,0,0.0,1,0,0.0,Not alarm (10000)
86,Line 3 Fail,1,CHARGER,10000,0,0.0,2,45,0.45,Not alarm (9955); Alarm (45)
93,Door Open,1,ALARM,10000,0,0.0,2,256,2.56,Not alarm (9744); Alarm (256)
