position,source_name,occurrence,canonical_name,entity,field_class,unit,proposed_silver_routing,predictive_signal_value,schema_diff
0,Charger Id,1,charger_id,CHARGER,IDENTIFIER,,CHARGER_TELEMETRY,CONTEXT,NEW_IN_REAL
1,OCPP Id,1,ocpp_id,COMMUNICATION,IDENTIFIER,,COMMUNICATION_OBSERVATION,CONTEXT,NEW_IN_REAL
2,Charging Station,1,charging_station,SITE,IDENTIFIER,,SITE_METADATA,CONTEXT,NEW_IN_REAL
3,Logged At Time,1,logged_at_time,CHARGER,TIMESTAMP,s,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
4,L1-N Voltage,1,l1_n_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
5,L2-N Voltage,1,l2_n_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
6,L3-N Voltage,1,l3_n_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
7,Neutral Voltage,1,neutral_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
8,Line 1 Input Current,1,line_1_input_current,CHARGER,CONTINUOUS_TELEMETRY,A,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
9,Line 2 Input Current,1,line_2_input_current,CHARGER,CONTINUOUS_TELEMETRY,A,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
10,Line 3 Input Current,1,line_3_input_current,CHARGER,CONTINUOUS_TELEMETRY,A,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
11,Frequency,1,frequency,CHARGER,CONTINUOUS_TELEMETRY,Hz,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
12,Power Factor,1,power_factor,CHARGER,CONTINUOUS_TELEMETRY,kW,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
13,Active Power,1,active_power,CHARGER,CONTINUOUS_TELEMETRY,kW,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
14,AC Contactor Status,1,ac_contactor_status,CONTACTOR,STATE,,CONTACTOR_OBSERVATION,MEDIUM,NEW_IN_REAL
15,L1-L2 Voltage,1,l1_l2_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
16,L2-L3 Voltage,1,l2_l3_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
17,L3-L1 Voltage,1,l3_l1_voltage,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
18,Reactive Power,1,reactive_power,CHARGER,CONTINUOUS_TELEMETRY,kW,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
19,Active Energy,1,active_energy,CHARGER,CONTINUOUS_TELEMETRY,kWh,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
20,Reactive Energy,1,reactive_energy,CHARGER,CONTINUOUS_TELEMETRY,kWh,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
21,Apparent Energy,1,apparent_energy,CHARGER,CONTINUOUS_TELEMETRY,kWh,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
22,Ground resistance value,1,ground_resistance_value,ALARM,ALARM_FLAG,kOhm,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
23,L1-N Voltage(Meter),1,l1_n_voltage_meter,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
24,L2-N Voltage(Meter),1,l2_n_voltage_meter,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
25,L3-N Voltage(Meter),1,l3_n_voltage_meter,CHARGER,CONTINUOUS_TELEMETRY,V,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
26,Grid Status,1,grid_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
27,Apparent Power,1,apparent_power,CHARGER,CONTINUOUS_TELEMETRY,kW,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
28,CCU Comm Fail,1,ccu_comm_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
29,LED Strip Card Comm Fail,1,led_strip_card_comm_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
30,DCSI Card Comm Fail,1,dcsi_card_comm_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
31,AC Sense Card CommFail,1,ac_sense_card_commfail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
32,LED Board Comm Fail,1,led_board_comm_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
33,RFID Reader Comm Fail,1,rfid_reader_comm_fail,COMMUNICATION,IDENTIFIER,,COMMUNICATION_OBSERVATION,HIGH,NEW_IN_REAL
34,Modem Comm Fail,1,modem_comm_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
35,Modem Sim Present,1,modem_sim_present,COMMUNICATION,STATE,,COMMUNICATION_OBSERVATION,MEDIUM,NEW_IN_REAL
36,Display Comm Fail,1,display_comm_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
37,CMS Comm Fail,1,cms_comm_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
38,Fan Card Comm Fail,1,fan_card_comm_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
39,I/O Card Comm Fail,1,i_o_card_comm_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
40,Input ACEM Comm Fail,1,input_acem_comm_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
41,RTC Clock Drift Warning,1,rtc_clock_drift_warning,ALARM,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
42,RMS Disabled Alarm,1,rms_disabled_alarm,ALARM,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
43,LEDCard2 Comm Fail,1,ledcard2_comm_fail,COMMUNICATION,ALARM_FLAG,,ALARM_OBSERVATION,HIGH,NEW_IN_REAL
44,Modem Signal Intensity,1,modem_signal_intensity,COMMUNICATION,CONTINUOUS_TELEMETRY,,COMMUNICATION_OBSERVATION,MEDIUM,NEW_IN_REAL
45,RSRP,1,rsrp,COMMUNICATION,CONTINUOUS_TELEMETRY,,COMMUNICATION_OBSERVATION,HIGH,NEW_IN_REAL
46,RSRQ,1,rsrq,COMMUNICATION,CONTINUOUS_TELEMETRY,,COMMUNICATION_OBSERVATION,HIGH,NEW_IN_REAL
47,Pilot-Upper TCP Interface,1,pilot_upper_tcp_interface,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
48,RMS Enable ModifiedBy,1,rms_enable_modifiedby,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
49,Fan Run Status,1,fan_run_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
50,FAN Set Speed,1,fan_set_speed,CHARGER,CONTINUOUS_TELEMETRY,RPM,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
51,System Fan Speed,1,system_fan_speed,CHARGER,CONTINUOUS_TELEMETRY,RPM,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
52,Cabinet Temperature,1,cabinet_temperature,CHARGER,CONTINUOUS_TELEMETRY,degC,CHARGER_TELEMETRY,HIGH,EXACT_EXISTING
53,Cooling Temp Sensor 1,1,cooling_temp_sensor_1,CHARGER,CONTINUOUS_TELEMETRY,degC,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
54,Cooling Temp Sensor 2,1,cooling_temp_sensor_2,CHARGER,CONTINUOUS_TELEMETRY,degC,CHARGER_TELEMETRY,HIGH,NEW_IN_REAL
55,Fan Card Status,1,fan_card_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
56,Rect Max Temperature,1,rect_max_temperature,RECTIFIER,CONTINUOUS_TELEMETRY,degC,RECTIFIER_TELEMETRY,HIGH,NEW_IN_REAL
57,Fan 1 Status,1,fan_1_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
58,Fan 2 Status,1,fan_2_status,CHARGER,STATE,,CHARGER_TELEMETRY,MEDIUM,NEW_IN_REAL
