position,source_name,source_occurrence,canonical_name,entity,field_class,data_type,unit,null_count,null_percentage,unique_count,variability_class,min,max,mean,median,std,P01,P05,P25,P50,P75,P95,P99,zero_count,negative_count,sentinel_hits,top_values
0,Charger Id,1,charger_id,CHARGER,IDENTIFIER,STRING,,0,0.0,2252,HIGH_VARIABILITY,,,,,,,,,,,,,0,0,,D92210439000001 (64); DD2410537090002 (36); D32510547450019 (36); DD2410536190001 (36); D32510547450027 (36)
1,OCPP Id,1,ocpp_id,COMMUNICATION,IDENTIFIER,STRING,,48,0.48,2103,HIGH_VARIABILITY,,,,,,,,,,,,,0,0,"{"" "": 8}",PRODEVSE003 (276); PRODEVSE004 (128); Exicom (80); KA0213 (64); CSEXI02 (63)
2,Charging Station,1,charging_station,SITE,IDENTIFIER,STRING,,0,0.0,686,VARIABLE,,,,,,,,,,,,,0,0,,Charge Zone (1455); JBM (1323); Undefined Customer (912); Zeon (903); Fortum (397)
3,Logged At Time,1,logged_at_time,CHARGER,TIMESTAMP,STRING,s,0,0.0,700,VARIABLE,,,,,,,,,,,,,0,0,,16-09-2026 22:35:42 (142); 16-09-2026 22:35:16 (132); 16-09-2026 22:34:01 (129); 16-09-2026 22:35:47 (125); 16-09-2026 22:35:48 (124)
4,L1-N Voltage,1,l1_n_voltage,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,V,271,2.71,61,VARIABLE,0.0,275.0,190.573,241.0,100.738,0.0,0.0,228.0,241.0,248.0,257.0,262.0,2064,0,,0 (2064); 243 (480); 241 (422); 244 (396); 247 (364)
5,L2-N Voltage,1,l2_n_voltage,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,V,271,2.71,67,VARIABLE,0.0,277.0,190.752,241.0,100.829,0.0,0.0,228.0,241.0,248.0,257.0,261.0,2042,0,,0 (2042); 248 (405); 244 (404); 246 (359); 242 (357)
6,L3-N Voltage,1,l3_n_voltage,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,V,271,2.71,63,VARIABLE,0.0,277.0,190.624,241.0,100.903,0.0,0.0,228.0,241.0,248.0,258.0,263.0,2092,0,,0 (2092); 247 (462); 248 (451); 241 (409); 245 (380)
7,Neutral Voltage,1,neutral_voltage,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,V,271,2.71,80,VARIABLE,0.0,174.7,1.032,0.0,6.955,0.0,0.0,0.0,0.0,0.9,2.5,5.8,5156,0,,0 (5156); 0.6 (470); 0.7 (397); 0.5 (360); 0.8 (353)
8,Line 1 Input Current,1,line_1_input_current,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,A,352,3.52,133,VARIABLE,0.0,368.42,10.157,0.0,44.861,0.0,0.0,0.0,0.0,0.64,64.62,251.93,6887,0,,0 (6887); 0.64 (163); 0.65 (152); 0.66 (134); 0.63 (126)
9,Line 2 Input Current,1,line_2_input_current,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,A,352,3.52,89,VARIABLE,0.0,366.61,9.798,0.0,44.268,0.0,0.0,0.0,0.0,0.0,63.28,250.8,8790,0,,0 (8790); 1.41 (16); 142.39 (12); 158.1 (12); 127.07 (12)
10,Line 3 Input Current,1,line_3_input_current,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,A,352,3.52,88,VARIABLE,0.0,364.76,9.846,0.0,44.449,0.0,0.0,0.0,0.0,0.0,63.43,251.6,8800,0,,0 (8800); 144.44 (12); 234.61 (12); 253.76 (12); 170.08 (12)
11,Frequency,1,frequency,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,Hz,352,3.52,4,LOW_VARIABILITY,0.0,50.0,14.068,0.0,22.206,0.0,0.0,0.0,0.0,49.0,49.0,50.0,6881,0,,0 (6881); 49 (2434); 50 (329); 4 (4)
12,Power Factor,1,power_factor,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,kW,352,3.52,44,VARIABLE,-0.49,1.08,0.14,0.0,0.273,0.0,0.0,0.0,0.0,0.33,0.99,1.0,6909,16,,0 (6909); 1 (380); 0.36 (324); 0.34 (216); 0.37 (209)
13,Active Power,1,active_power,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,kW,352,3.52,80,VARIABLE,-0.07,256.36,6.984,0.0,31.906,0.0,0.0,0.0,0.0,0.05,46.37,183.49,6923,12,,0 (6923); 0.07 (584); 0.06 (495); 0.05 (436); 0.08 (320)
14,AC Contactor Status,1,ac_contactor_status,CONTACTOR,STATE,STRING,,4235,42.35,2,LOW_VARIABILITY,,,,,,,,,,,,,0,0,,On (3237); Off (2528)
15,L1-L2 Voltage,1,l1_l2_voltage,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,V,6003,60.03,68,VARIABLE,0.0,456.0,291.032,414.0,195.349,0.0,0.0,0.0,414.0,429.0,442.0,450.0,1230,0,,0 (1230); 432 (164); 416 (124); 413 (120); 424 (120)
16,L2-L3 Voltage,1,l2_l3_voltage,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,V,6003,60.03,69,VARIABLE,0.0,455.0,292.145,414.0,195.208,0.0,0.0,0.0,414.0,429.0,442.0,450.0,1230,0,,0 (1230); 429 (213); 414 (142); 413 (110); 430 (104)
17,L3-L1 Voltage,1,l3_l1_voltage,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,V,6003,60.03,64,VARIABLE,0.0,459.0,291.728,414.0,195.0,0.0,0.0,0.0,414.0,427.0,442.0,453.0,1230,0,,0 (1230); 427 (157); 415 (144); 428 (124); 423 (116)
18,Reactive Power,1,reactive_power,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,kW,6003,60.03,100,VARIABLE,-22.02,16.22,-1.676,-0.15,4.277,-19.88,-12.49,-0.19,-0.15,0.0,0.0,0.0,1232,2733,,0 (1232); -0.15 (501); -0.17 (328); -0.16 (298); -0.18 (268)
19,Active Energy,1,active_energy,CHARGER,CONTINUOUS_TELEMETRY,NUMERIC,kWh,6003,60.03,270,VARIABLE,0.0,2000097664.0,185004082.206,2744.49,508031997.173,0.0,0.0,0.0,2744.49,38547.56,2000002432.0,2000065920.0,1338,0,,0 (1338); 404.95 (20); 869.07 (20); 66.7 (20); 44.62 (13)
