position,source_name,entity,field_class,predictive_value,rationale,leakage_risk
0,Charger Id,CHARGER,IDENTIFIER,CONTEXT,"Variability: HIGH_VARIABILITY, Null%: 0.0%, Unique: 2252",NONE
1,OCPP Id,COMMUNICATION,IDENTIFIER,CONTEXT,"Variability: HIGH_VARIABILITY, Null%: 0.5%, Unique: 2103",NONE
2,Charging Station,SITE,IDENTIFIER,CONTEXT,"Variability: VARIABLE, Null%: 0.0%, Unique: 686",NONE
3,Logged At Time,CHARGER,TIMESTAMP,MEDIUM,"Variability: VARIABLE, Null%: 0.0%, Unique: 700",NONE
4,L1-N Voltage,CHARGER,CONTINUOUS_TELEMETRY,HIGH,"Variability: VARIABLE, Null%: 2.7%, Unique: 61",NONE
5,L2-N Voltage,CHARGER,CONTINUOUS_TELEMETRY,HIGH,"Variability: VARIABLE, Null%: 2.7%, Unique: 67",NONE
6,L3-N Voltage,CHARGER,CONTINUOUS_TELEMETRY,HIGH,"Variability: VARIABLE, Null%: 2.7%, Unique: 63",NONE
7,Neutral Voltage,CHARGER,CONTINUOUS_TELEMETRY,HIGH,"Variability: VARIABLE, Null%: 2.7%, Unique: 80",NONE
8,Line 1 Input Current,CHARGER,CONTINUOUS_TELEMETRY,HIGH,"Variability: VARIABLE, Null%: 3.5%, Unique: 133",NONE
9,Line 2 Input Current,CHARGER,CONTINUOUS_TELEMETRY,HIGH,"Variability: VARIABLE, Null%: 3.5%, Unique: 89",NONE
10,Line 3 Input Current,CHARGER,CONTINUOUS_TELEMETRY,HIGH,"Variability: VARIABLE, Null%: 3.5%, Unique: 88",NONE
11,Frequency,CHARGER,CONTINUOUS_TELEMETRY,HIGH,"Variability: LOW_VARIABILITY, Null%: 3.5%, Unique: 4",NONE
12,Power Factor,CHARGER,CONTINUOUS_TELEMETRY,HIGH,"Variability: VARIABLE, Null%: 3.5%, Unique: 44",NONE
13,Active Power,CHARGER,CONTINUOUS_TELEMETRY,HIGH,"Variability: VARIABLE, Null%: 3.5%, Unique: 80",NONE
14,AC Contactor Status,CONTACTOR,STATE,MEDIUM,"Variability: LOW_VARIABILITY, Null%: 42.4%, Unique: 2",NONE
15,L1-L2 Voltage,CHARGER,CONTINUOUS_TELEMETRY,HIGH,"Variability: VARIABLE, Null%: 60.0%, Unique: 68",NONE
16,L2-L3 Voltage,CHARGER,CONTINUOUS_TELEMETRY,HIGH,"Variability: VARIABLE, Null%: 60.0%, Unique: 69",NONE
17,L3-L1 Voltage,CHARGER,CONTINUOUS_TELEMETRY,HIGH,"Variability: VARIABLE, Null%: 60.0%, Unique: 64",NONE
18,Reactive Power,CHARGER,CONTINUOUS_TELEMETRY,HIGH,"Variability: VARIABLE, Null%: 60.0%, Unique: 100",NONE
19,Active Energy,CHARGER,CONTINUOUS_TELEMETRY,MEDIUM,"Variability: VARIABLE, Null%: 60.0%, Unique: 270",NONE
20,Reactive Energy,CHARGER,CONTINUOUS_TELEMETRY,MEDIUM,"Variability: VARIABLE, Null%: 60.0%, Unique: 278",NONE
21,Apparent Energy,CHARGER,CONTINUOUS_TELEMETRY,MEDIUM,"Variability: VARIABLE, Null%: 60.0%, Unique: 270",NONE
22,Ground resistance value,ALARM,ALARM_FLAG,HIGH,"Variability: VARIABLE, Null%: 11.5%, Unique: 195",NONE
23,L1-N Voltage(Meter),CHARGER,CONTINUOUS_TELEMETRY,HIGH,"Variability: LOW_VARIABILITY, Null%: 99.4%, Unique: 4",NONE
